iter	Passed	Remaining
0	4	4366
1	7	3914
2	10	3649
3	14	3521
4	17	3503
5	20	3440
6	24	3406
7	26	3346
8	29	3247
9	32	3245
10	36	3243
11	38	3189
12	42	3215
13	45	3226
14	48	3207
15	52	3205
16	55	3188
17	58	3199
18	61	3188
19	64	3184
20	68	3197
21	71	3195
22	75	3192
23	78	3183
24	81	3179
25	85	3185
26	88	3193
27	91	3186
28	94	3179
29	98	3197
30	103	3229
31	107	3244
32	110	3234
33	113	3234
34	117	3234
35	120	3221
36	123	3210
37	126	3201
38	128	3177
39	132	3175
40	135	3170
41	139	3184
42	143	3197
43	147	3208
44	151	3216
45	154	3210
46	157	3203
47	161	3193
48	164	3185
49	167	3178
50	170	3178
51	174	3179
52	178	3193
53	181	3176
54	184	3170
55	188	3170
56	191	3166
57	194	3163
58	198	3159
59	201	3156
60	205	3169
61	209	3173
62	213	3176
63	217	3184
64	221	3182
65	224	3170
66	226	3160
67	229	3146
68	231	3129
69	234	3113
70	236	3092
71	238	3078
72	241	3071
73	244	3057
74	247	3050
75	249	3034
76	252	3025
77	254	3013
78	257	3002
79	260	2993
80	262	2980
81	265	2977
82	268	2962
83	271	2959
84	273	2948
85	277	2944
86	279	2934
87	282	2922
88	284	2910
89	287	2902
90	290	2897
91	292	2887
92	294	2874
93	297	2866
94	299	2857
95	302	2845
96	304	2838
97	307	2829
98	309	2819
99	312	2814
100	315	2810
101	318	2800
102	321	2795
103	323	2788
104	325	2773
105	327	2763
106	330	2755
107	332	2744
108	334	2736
109	337	2730
110	340	2723
111	342	2717
112	345	2708
113	347	2703
114	350	2697
115	353	2690
116	355	2683
117	358	2679
118	360	2672
119	363	2664
120	365	2657
121	368	2651
122	370	2644
123	373	2639
124	376	2633
125	378	2626
126	381	2620
127	383	2614
128	386	2607
129	388	2601
130	391	2595
131	393	2589
132	396	2582
133	398	2576
134	401	2571
135	403	2565
136	405	2556
137	408	2551
138	410	2544
139	413	2538
140	415	2533
141	419	2532
142	421	2525
143	423	2519
144	426	2513
145	428	2506
146	430	2500
147	433	2494
148	435	2488
149	438	2483
150	440	2477
151	442	2470
152	445	2466
153	447	2459
154	450	2453
155	452	2448
156	455	2443
157	457	2438
158	459	2432
159	462	2427
160	464	2422
161	467	2416
162	469	2411
163	472	2406
164	474	2401
165	476	2396
166	479	2391
167	481	2386
168	484	2381
169	486	2376
170	489	2372
171	491	2367
172	494	2363
173	496	2358
174	499	2352
175	501	2348
176	503	2343
177	506	2340
178	509	2336
179	511	2332
180	514	2328
181	516	2322
182	519	2318
183	521	2312
184	523	2307
185	526	2302
186	528	2299
187	531	2294
188	533	2290
189	536	2286
190	538	2280
191	540	2275
192	543	2271
193	545	2267
194	548	2263
195	550	2259
196	553	2255
197	556	2252
198	558	2248
199	561	2244
200	563	2240
201	566	2236
202	568	2232
203	571	2229
204	573	2225
205	576	2221
206	578	2216
207	581	2212
208	583	2208
209	586	2204
210	588	2200
211	590	2195
212	593	2191
213	595	2188
214	598	2184
215	600	2180
216	603	2176
217	605	2172
218	608	2168
219	610	2164
220	613	2160
221	615	2156
222	617	2153
223	620	2149
224	622	2143
225	624	2139
226	626	2133
227	628	2129
228	631	2125
229	633	2121
230	636	2118
231	639	2115
232	641	2111
233	644	2108
234	646	2105
235	648	2100
236	651	2096
237	653	2092
238	656	2089
239	658	2086
240	661	2082
241	663	2078
242	666	2075
243	668	2070
244	670	2067
245	673	2063
246	675	2060
247	678	2056
248	680	2053
249	683	2051
250	686	2048
251	688	2044
252	691	2041
253	693	2037
254	696	2034
255	698	2031
256	701	2028
257	704	2024
258	706	2020
259	708	2017
260	711	2013
261	713	2010
262	716	2006
263	718	2003
264	720	1999
265	723	1995
266	725	1992
267	728	1989
268	731	1986
269	733	1983
270	736	1980
271	738	1976
272	740	1973
273	744	1971
274	746	1967
275	748	1964
276	751	1961
277	753	1958
278	756	1954
279	758	1951
280	761	1947
281	763	1943
282	765	1939
283	768	1937
284	770	1934
285	773	1931
286	776	1928
287	779	1926
288	781	1923
289	784	1921
290	787	1918
291	789	1914
292	792	1911
293	794	1908
294	797	1905
295	800	1902
296	802	1899
297	805	1896
298	807	1894
299	810	1891
300	813	1888
301	815	1884
302	818	1882
303	820	1879
304	823	1876
305	826	1873
306	828	1869
307	830	1866
308	833	1863
309	835	1859
310	837	1855
311	840	1852
312	842	1849
313	845	1846
314	847	1843
315	850	1841
316	853	1838
317	855	1835
318	858	1832
319	860	1829
320	863	1825
321	865	1822
322	868	1819
323	870	1816
324	873	1813
325	875	1810
326	878	1807
327	880	1804
328	883	1801
329	885	1798
330	888	1795
331	890	1792
332	893	1788
333	895	1785
334	898	1782
335	900	1779
336	903	1776
337	905	1773
338	908	1770
339	910	1768
340	913	1765
341	916	1763
342	918	1760
343	923	1760
344	925	1757
345	928	1754
346	930	1751
347	933	1748
348	936	1746
349	938	1743
350	941	1740
351	945	1740
352	948	1738
353	951	1735
354	954	1733
355	957	1731
356	959	1729
357	962	1726
358	965	1723
359	967	1720
360	970	1717
361	972	1714
362	975	1711
363	977	1708
364	980	1705
365	983	1702
366	986	1700
367	988	1697
368	991	1695
369	993	1691
370	996	1689
371	999	1686
372	1001	1683
373	1004	1680
374	1006	1677
375	1009	1675
376	1012	1672
377	1014	1669
378	1017	1666
379	1019	1664
380	1022	1661
381	1025	1658
382	1027	1655
383	1030	1652
384	1032	1649
385	1035	1646
386	1037	1643
387	1040	1640
388	1042	1637
389	1045	1634
390	1047	1631
391	1050	1628
392	1052	1625
393	1054	1622
394	1057	1619
395	1059	1616
396	1062	1613
397	1064	1610
398	1067	1607
399	1069	1604
400	1072	1601
401	1075	1599
402	1077	1596
403	1080	1593
404	1083	1591
405	1085	1588
406	1088	1585
407	1090	1582
408	1093	1579
409	1095	1576
410	1098	1573
411	1100	1571
412	1103	1568
413	1105	1565
414	1108	1562
415	1110	1559
416	1113	1556
417	1115	1553
418	1118	1550
419	1120	1547
420	1123	1545
421	1125	1542
422	1128	1539
423	1130	1536
424	1133	1533
425	1136	1530
426	1138	1527
427	1141	1524
428	1143	1522
429	1146	1519
430	1148	1516
431	1151	1513
432	1153	1510
433	1155	1507
434	1158	1504
435	1160	1501
436	1163	1498
437	1165	1495
438	1168	1492
439	1170	1490
440	1173	1487
441	1175	1484
442	1178	1481
443	1180	1478
444	1183	1475
445	1185	1473
446	1188	1470
447	1192	1469
448	1195	1466
449	1197	1464
450	1200	1461
451	1203	1459
452	1205	1456
453	1208	1453
454	1211	1450
455	1213	1447
456	1216	1445
457	1218	1442
458	1221	1439
459	1223	1436
460	1226	1433
461	1229	1431
462	1231	1428
463	1234	1425
464	1236	1423
465	1239	1420
466	1241	1417
467	1244	1414
468	1246	1411
469	1249	1408
470	1251	1406
471	1254	1403
472	1256	1400
473	1259	1397
474	1261	1394
475	1264	1391
476	1266	1388
477	1269	1386
478	1271	1383
479	1274	1380
480	1276	1377
481	1279	1374
482	1281	1372
483	1284	1369
484	1286	1366
485	1289	1363
486	1291	1360
487	1294	1357
488	1296	1355
489	1299	1352
490	1301	1349
491	1304	1346
492	1306	1343
493	1309	1341
494	1311	1338
495	1314	1335
496	1316	1332
497	1319	1329
498	1321	1327
499	1324	1324
500	1326	1321
501	1329	1318
502	1331	1315
503	1334	1313
504	1336	1310
505	1339	1307
506	1341	1304
507	1344	1301
508	1346	1299
509	1349	1296
510	1351	1293
511	1354	1290
512	1356	1287
513	1359	1285
514	1361	1282
515	1364	1279
516	1367	1277
517	1369	1274
518	1372	1271
519	1374	1268
520	1377	1266
521	1379	1263
522	1382	1260
523	1385	1258
524	1387	1255
525	1390	1252
526	1392	1250
527	1395	1247
528	1398	1245
529	1401	1242
530	1403	1239
531	1406	1237
532	1408	1234
533	1411	1231
534	1413	1228
535	1416	1225
536	1418	1223
537	1421	1220
538	1423	1217
539	1426	1214
540	1428	1212
541	1431	1209
542	1434	1207
543	1436	1204
544	1439	1201
545	1441	1198
546	1444	1195
547	1446	1193
548	1449	1190
549	1451	1187
550	1454	1185
551	1456	1182
552	1459	1179
553	1461	1176
554	1464	1174
555	1466	1171
556	1469	1168
557	1471	1165
558	1474	1162
559	1476	1160
560	1478	1157
561	1481	1154
562	1483	1151
563	1486	1149
564	1488	1146
565	1491	1143
566	1493	1140
567	1496	1138
568	1498	1135
569	1501	1132
570	1503	1129
571	1506	1127
572	1508	1124
573	1511	1121
574	1513	1118
575	1516	1116
576	1518	1113
577	1521	1110
578	1523	1108
579	1526	1105
580	1528	1102
581	1531	1099
582	1533	1097
583	1536	1094
584	1538	1091
585	1541	1088
586	1543	1086
587	1546	1083
588	1548	1080
589	1551	1077
590	1553	1075
591	1556	1072
592	1558	1069
593	1561	1067
594	1563	1064
595	1565	1061
596	1568	1058
597	1570	1056
598	1573	1053
599	1575	1050
600	1578	1047
601	1580	1045
602	1583	1042
603	1585	1039
604	1588	1036
605	1590	1034
606	1593	1031
607	1595	1028
608	1598	1026
609	1600	1023
610	1603	1020
611	1605	1017
612	1608	1015
613	1610	1012
614	1612	1009
615	1615	1006
616	1617	1004
617	1620	1001
618	1622	998
619	1625	996
620	1627	993
621	1630	990
622	1632	988
623	1635	985
624	1637	982
625	1640	980
626	1642	977
627	1645	974
628	1647	971
629	1650	969
630	1652	966
631	1655	963
632	1657	961
633	1660	958
634	1662	955
635	1665	953
636	1667	950
637	1670	947
638	1672	944
639	1674	942
640	1677	939
641	1680	936
642	1682	934
643	1685	931
644	1687	928
645	1690	926
646	1692	923
647	1695	920
648	1697	918
649	1700	915
650	1702	912
651	1704	910
652	1707	907
653	1709	904
654	1712	901
655	1714	899
656	1717	896
657	1719	893
658	1722	891
659	1724	888
660	1727	885
661	1729	883
662	1732	880
663	1734	877
664	1737	875
665	1739	872
666	1742	869
667	1744	867
668	1747	864
669	1749	861
670	1751	859
671	1754	856
672	1756	853
673	1759	850
674	1761	848
675	1764	845
676	1766	842
677	1769	840
678	1771	837
679	1774	834
680	1776	832
681	1779	829
682	1782	827
683	1784	824
684	1787	821
685	1789	819
686	1792	816
687	1794	813
688	1797	811
689	1799	808
690	1802	805
691	1808	805
692	1811	802
693	1814	800
694	1817	797
695	1820	795
696	1823	792
697	1826	790
698	1828	787
699	1831	784
700	1834	782
701	1836	779
702	1839	776
703	1841	774
704	1844	771
705	1846	769
706	1849	766
707	1851	763
708	1854	761
709	1857	758
710	1859	755
711	1862	753
712	1865	750
713	1867	748
714	1870	745
715	1873	743
716	1876	740
717	1878	737
718	1881	735
719	1883	732
720	1886	729
721	1889	727
722	1891	724
723	1894	722
724	1896	719
725	1899	716
726	1901	714
727	1904	711
728	1906	708
729	1909	706
730	1912	703
731	1915	701
732	1918	698
733	1920	696
734	1923	693
735	1926	691
736	1929	688
737	1931	685
738	1934	683
739	1936	680
740	1939	677
741	1941	675
742	1944	672
743	1947	669
744	1949	667
745	1952	664
746	1955	662
747	1957	659
748	1960	657
749	1963	654
750	1966	651
751	1969	649
752	1972	646
753	1974	644
754	1977	641
755	1980	639
756	1982	636
757	1985	633
758	1987	631
759	1990	628
760	1992	625
761	1995	623
762	1997	620
763	2000	617
764	2002	615
765	2005	612
766	2007	609
767	2010	607
768	2012	604
769	2015	601
770	2017	599
771	2020	596
772	2022	594
773	2025	591
774	2027	588
775	2030	586
776	2032	583
777	2035	580
778	2037	578
779	2040	575
780	2042	572
781	2045	570
782	2047	567
783	2050	564
784	2052	562
785	2055	559
786	2057	556
787	2060	554
788	2062	551
789	2065	549
790	2067	546
791	2070	543
792	2072	541
793	2075	538
794	2078	535
795	2080	533
796	2083	530
797	2085	527
798	2088	525
799	2090	522
800	2093	520
801	2095	517
802	2098	514
803	2100	512
804	2103	509
805	2105	506
806	2108	504
807	2110	501
808	2113	498
809	2115	496
810	2118	493
811	2120	491
812	2123	488
813	2126	485
814	2128	483
815	2131	480
816	2133	477
817	2136	475
818	2138	472
819	2141	469
820	2143	467
821	2146	464
822	2148	462
823	2151	459
824	2153	456
825	2156	454
826	2158	451
827	2161	448
828	2163	446
829	2166	443
830	2168	440
831	2170	438
832	2173	435
833	2175	433
834	2178	430
835	2180	427
836	2183	425
837	2185	422
838	2188	419
839	2190	417
840	2193	414
841	2195	412
842	2198	409
843	2200	406
844	2203	404
845	2205	401
846	2208	398
847	2210	396
848	2213	393
849	2215	390
850	2218	388
851	2220	385
852	2222	383
853	2225	380
854	2227	377
855	2230	375
856	2232	372
857	2235	369
858	2237	367
859	2240	364
860	2242	362
861	2245	359
862	2247	356
863	2250	354
864	2252	351
865	2255	348
866	2257	346
867	2259	343
868	2262	341
869	2264	338
870	2267	335
871	2269	333
872	2272	330
873	2275	328
874	2277	325
875	2280	322
876	2282	320
877	2285	317
878	2287	314
879	2289	312
880	2292	309
881	2294	307
882	2297	304
883	2300	301
884	2303	299
885	2307	296
886	2310	294
887	2313	291
888	2315	289
889	2318	286
890	2320	283
891	2323	281
892	2325	278
893	2328	276
894	2330	273
895	2333	270
896	2335	268
897	2338	265
898	2340	262
899	2343	260
900	2345	257
901	2348	255
902	2350	252
903	2352	249
904	2355	247
905	2357	244
906	2360	242
907	2363	239
908	2365	236
909	2367	234
910	2370	231
911	2373	228
912	2375	226
913	2378	223
914	2380	221
915	2383	218
916	2385	215
917	2388	213
918	2390	210
919	2393	208
920	2395	205
921	2398	202
922	2400	200
923	2403	197
924	2405	195
925	2407	192
926	2410	189
927	2412	187
928	2415	184
929	2417	181
930	2420	179
931	2423	176
932	2426	174
933	2428	171
934	2431	169
935	2434	166
936	2437	163
