Minute,Second,RepeatNumber,Server,TR_IST_AP,flow_or_url,allow_or_src,snat_or_dnat,mac_or_dst,mac_or_request,protocol,sport,dport,NumberEntryToSite
0,9,3,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.96,mac=BC:09:1B:DD:22:28,protocol=udp,sport=53168,dport=53,1
0,9,3,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.225,mac=BC:09:1B:DD:22:28,protocol=udp,sport=53169,dport=53,1
0,9,3,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=208.67.222.222,mac=BC:09:1B:DD:22:28,protocol=udp,sport=53171,dport=443,1
0,10,4,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=10.25.0.4,mac=BC:09:1B:DD:22:28,protocol=tcp,sport=55931,dport=445,1
0,24,4,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.96,mac=BC:09:1B:DD:22:28,protocol=udp,sport=53172,dport=53,1
0,24,4,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.225,mac=BC:09:1B:DD:22:28,protocol=udp,sport=53173,dport=53,1
0,26,3,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=20.199.120.151,mac=BC:09:1B:DD:22:28,protocol=tcp,sport=49408,dport=443,4
28,26,3,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=20.199.120.151,mac=BC:09:1B:DD:22:28,protocol=tcp,sport=49408,dport=443,4
5,26,7,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=20.199.120.151,mac=BC:09:1B:DD:22:28,protocol=tcp,sport=49408,dport=443,4
32,26,3,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=20.199.120.151,mac=BC:09:1B:DD:22:28,protocol=tcp,sport=49408,dport=443,4
0,44,6,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.96,mac=BC:09:1B:DD:22:28,protocol=udp,sport=53174,dport=53,1
0,44,6,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.225,mac=BC:09:1B:DD:22:28,protocol=udp,sport=53175,dport=53,1
0,44,6,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=208.67.222.222,mac=BC:09:1B:DD:22:28,protocol=udp,sport=53177,dport=443,1
0,49,5,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.96,mac=BC:09:1B:DD:22:28,protocol=udp,sport=53178,dport=53,1
0,49,5,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.225,mac=BC:09:1B:DD:22:28,protocol=udp,sport=53179,dport=53,1
0,54,3,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.96,mac=BC:09:1B:DD:22:28,protocol=udp,sport=56375,dport=53,1
0,55,5,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=20.50.73.9,mac=BC:09:1B:DD:22:28,protocol=tcp,sport=55934,dport=443,1
1,1,1,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=52.16.105.95,mac=BC:09:1B:DD:22:28,protocol=tcp,sport=55937,dport=443,1
2,9,2,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.96,mac=BC:09:1B:DD:22:28,protocol=udp,sport=51781,dport=53,1
2,9,2,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.225,mac=BC:09:1B:DD:22:28,protocol=udp,sport=51782,dport=53,1
2,29,6,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.96,mac=BC:09:1B:DD:22:28,protocol=udp,sport=51783,dport=53,1
2,29,6,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.225,mac=BC:09:1B:DD:22:28,protocol=udp,sport=51784,dport=53,1
2,29,6,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=208.67.222.222,mac=BC:09:1B:DD:22:28,protocol=udp,sport=51786,dport=443,1
2,31,7,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.96,mac=BC:09:1B:DD:22:28,protocol=udp,sport=59165,dport=53,1
2,31,7,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=13.69.109.131,mac=BC:09:1B:DD:22:28,protocol=tcp,sport=55942,dport=443,1
2,38,4,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.96,mac=BC:09:1B:DD:22:28,protocol=udp,sport=62095,dport=53,1
2,38,4,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=146.112.62.20,mac=BC:09:1B:DD:22:28,protocol=tcp,sport=55944,dport=443,1
2,39,3,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=146.112.62.20,mac=BC:09:1B:DD:22:28,protocol=tcp,sport=55945,dport=443,1
2,39,3,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.96,mac=BC:09:1B:DD:22:28,protocol=udp,sport=62096,dport=53,1
2,39,3,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.225,mac=BC:09:1B:DD:22:28,protocol=udp,sport=62097,dport=53,1
2,41,5,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.96,mac=BC:09:1B:DD:22:28,protocol=udp,sport=50915,dport=53,1
2,41,5,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=192.111.5.2,mac=BC:09:1B:DD:22:28,protocol=tcp,sport=55948,dport=443,3
23,51,7,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.96,mac=BC:09:1B:DD:22:28,protocol=udp,sport=55948,dport=53,3
23,51,7,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.225,mac=BC:09:1B:DD:22:28,protocol=udp,sport=55948,dport=53,3
3,1,11,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.96,mac=BC:09:1B:DD:22:28,protocol=udp,sport=61976,dport=53,2
3,1,11,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.225,mac=BC:09:1B:DD:22:28,protocol=udp,sport=61976,dport=53,2
3,1,11,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=52.113.194.132,mac=BC:09:1B:DD:22:28,protocol=tcp,sport=55950,dport=443,2
23,55,10,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.225,mac=BC:09:1B:DD:22:28,protocol=udp,sport=55950,dport=53,2
3,2,6,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.96,mac=BC:09:1B:DD:22:28,protocol=udp,sport=55097,dport=53,1
3,2,6,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=13.69.109.131,mac=BC:09:1B:DD:22:28,protocol=tcp,sport=55951,dport=443,1
3,4,3,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.96,mac=BC:09:1B:DD:22:28,protocol=udp,sport=55098,dport=53,1
3,4,3,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.225,mac=BC:09:1B:DD:22:28,protocol=udp,sport=55099,dport=53,1
3,4,3,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=208.67.222.222,mac=BC:09:1B:DD:22:28,protocol=udp,sport=55101,dport=443,1
3,9,2,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.96,mac=BC:09:1B:DD:22:28,protocol=udp,sport=55102,dport=53,1
3,9,2,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.225,mac=BC:09:1B:DD:22:28,protocol=udp,sport=55103,dport=53,1
3,39,15,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.96,mac=BC:09:1B:DD:22:28,protocol=udp,sport=55104,dport=53,1
