Minute,Second,RepeatNumber,Server,TR_IST_AP,flow_or_url,allow_or_src,snat_or_dnat,mac_or_dst,mac_or_request,protocol,sport,dport
0,0,2,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.148,dst=172.18.14.96,mac=F4:46:37:8B:43:EA,protocol=udp,sport=63789,dport=53
0,0,2,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.148,dst=172.18.14.225,mac=F4:46:37:8B:43:EA,protocol=udp,sport=63790,dport=53
0,2,3,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.172,dst=172.18.14.96,mac=F4:46:37:8B:1F:28,protocol=udp,sport=65320,dport=53
0,2,3,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.172,dst=172.18.14.225,mac=F4:46:37:8B:1F:28,protocol=udp,sport=65320,dport=53
0,2,3,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.172,dst=20.189.173.9,mac=F4:46:37:8B:1F:28,protocol=tcp,sport=63954,dport=443
0,5,2,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.172,dst=172.18.14.96,mac=F4:46:37:8B:1F:28,protocol=udp,sport=65321,dport=53
0,5,2,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.172,dst=172.18.14.225,mac=F4:46:37:8B:1F:28,protocol=udp,sport=65322,dport=53
0,7,1,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.111,dst=172.19.0.166,mac=BC:09:1B:F0:66:C1,protocol=tcp,sport=65185,dport=7680
0,9,3,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.96,mac=BC:09:1B:DD:22:28,protocol=udp,sport=53168,dport=53
0,9,3,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.225,mac=BC:09:1B:DD:22:28,protocol=udp,sport=53169,dport=53
0,9,3,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=208.67.222.222,mac=BC:09:1B:DD:22:28,protocol=udp,sport=53171,dport=443
0,10,4,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.155,dst=20.199.120.151,mac=F4:46:37:8B:66:DB,protocol=tcp,sport=49410,dport=443
0,10,4,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=10.25.0.4,mac=BC:09:1B:DD:22:28,protocol=tcp,sport=55931,dport=445
0,10,4,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.172,dst=172.18.14.96,mac=F4:46:37:8B:1F:28,protocol=udp,sport=65323,dport=53
0,10,4,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.172,dst=172.18.14.225,mac=F4:46:37:8B:1F:28,protocol=udp,sport=65324,dport=53
0,11,1,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.172,dst=208.67.222.222,mac=F4:46:37:8B:1F:28,protocol=udp,sport=65326,dport=443
0,14,2,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.148,dst=172.18.14.96,mac=F4:46:37:8B:43:EA,protocol=udp,sport=60739,dport=53
0,14,2,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.148,dst=20.190.159.69,mac=F4:46:37:8B:43:EA,protocol=tcp,sport=53198,dport=443
0,15,5,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.179,dst=172.18.14.96,mac=BC:09:1B:F8:BA:51,protocol=udp,sport=64861,dport=53
0,15,5,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.179,dst=172.18.14.225,mac=BC:09:1B:F8:BA:51,protocol=udp,sport=64862,dport=53
0,15,5,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.148,dst=172.18.14.96,mac=F4:46:37:8B:43:EA,protocol=udp,sport=56141,dport=53
0,15,5,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.148,dst=172.18.14.225,mac=F4:46:37:8B:43:EA,protocol=udp,sport=56141,dport=53
0,15,5,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.148,dst=20.54.103.203,mac=F4:46:37:8B:43:EA,protocol=tcp,sport=53199,dport=443
0,16,3,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.148,dst=172.18.14.96,mac=F4:46:37:8B:43:EA,protocol=udp,sport=54722,dport=53
0,16,3,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.148,dst=172.18.14.225,mac=F4:46:37:8B:43:EA,protocol=udp,sport=54722,dport=53
0,16,3,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.148,dst=20.190.159.71,mac=F4:46:37:8B:43:EA,protocol=tcp,sport=53200,dport=443
0,17,8,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.173,dst=172.18.14.96,mac=F4:46:37:8A:F5:A7,protocol=udp,sport=63412,dport=53
0,17,8,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.148,dst=172.18.14.96,mac=F4:46:37:8B:43:EA,protocol=udp,sport=57246,dport=53
0,17,8,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.173,dst=172.18.14.225,mac=F4:46:37:8A:F5:A7,protocol=udp,sport=63413,dport=53
0,17,8,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.148,dst=172.18.14.225,mac=F4:46:37:8B:43:EA,protocol=udp,sport=57246,dport=53
0,17,8,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.148,dst=20.31.106.135,mac=F4:46:37:8B:43:EA,protocol=tcp,sport=53201,dport=443
0,17,8,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.173,dst=208.67.222.222,mac=F4:46:37:8A:F5:A7,protocol=udp,sport=63415,dport=443
0,17,8,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.148,dst=172.18.14.96,mac=F4:46:37:8B:43:EA,protocol=udp,sport=51428,dport=53
0,17,8,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.148,dst=93.184.220.29,mac=F4:46:37:8B:43:EA,protocol=tcp,sport=53202,dport=80
0,18,2,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.172,dst=239.255.255.250,mac=F4:46:37:8B:1F:28,protocol=udp,sport=65327,dport=1900
0,18,2,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.179,dst=239.255.255.250,mac=BC:09:1B:F8:BA:51,protocol=udp,sport=64863,dport=1900
0,20,8,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.111,dst=172.18.14.96,mac=BC:09:1B:F0:66:C1,protocol=udp,sport=61898,dport=53
0,20,8,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.111,dst=172.18.14.225,mac=BC:09:1B:F0:66:C1,protocol=udp,sport=61899,dport=53
0,20,8,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.111,dst=172.18.14.96,mac=BC:09:1B:F0:66:C1,protocol=udp,sport=61900,dport=53
0,20,8,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.111,dst=172.18.14.225,mac=BC:09:1B:F0:66:C1,protocol=udp,sport=61901,dport=53
0,20,8,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.111,dst=208.67.222.222,mac=BC:09:1B:F0:66:C1,protocol=udp,sport=61903,dport=443
0,20,8,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.148,dst=172.18.14.96,mac=F4:46:37:8B:43:EA,protocol=udp,sport=51429,dport=53
0,20,8,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.148,dst=172.18.14.225,mac=F4:46:37:8B:43:EA,protocol=udp,sport=51430,dport=53
0,20,8,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.148,dst=208.67.222.222,mac=F4:46:37:8B:43:EA,protocol=udp,sport=51432,dport=443
0,22,5,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.155,dst=172.18.14.96,mac=F4:46:37:8B:66:DB,protocol=udp,sport=63281,dport=53
0,22,5,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.155,dst=172.18.14.225,mac=F4:46:37:8B:66:DB,protocol=udp,sport=63281,dport=53
0,22,5,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.155,dst=20.50.73.9,mac=F4:46:37:8B:66:DB,protocol=tcp,sport=60240,dport=443
0,22,5,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.173,dst=172.18.14.96,mac=F4:46:37:8A:F5:A7,protocol=udp,sport=63416,dport=53
0,22,5,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.173,dst=172.18.14.225,mac=F4:46:37:8A:F5:A7,protocol=udp,sport=63417,dport=53
0,24,4,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.155,dst=172.18.14.96,mac=F4:46:37:8B:66:DB,protocol=udp,sport=63282,dport=53
0,24,4,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.155,dst=172.18.14.225,mac=F4:46:37:8B:66:DB,protocol=udp,sport=63283,dport=53
0,24,4,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.96,mac=BC:09:1B:DD:22:28,protocol=udp,sport=53172,dport=53
0,24,4,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.225,mac=BC:09:1B:DD:22:28,protocol=udp,sport=53173,dport=53
0,25,3,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.179,dst=172.18.14.96,mac=BC:09:1B:F8:BA:51,protocol=udp,sport=64865,dport=53
0,25,3,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.179,dst=172.18.14.225,mac=BC:09:1B:F8:BA:51,protocol=udp,sport=64866,dport=53
0,25,3,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.179,dst=208.67.222.222,mac=BC:09:1B:F8:BA:51,protocol=udp,sport=64868,dport=443
0,26,3,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.155,dst=172.18.14.96,mac=F4:46:37:8B:66:DB,protocol=udp,sport=56760,dport=53
0,26,3,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.155,dst=20.50.73.9,mac=F4:46:37:8B:66:DB,protocol=tcp,sport=60241,dport=443
0,26,3,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=20.199.120.151,mac=BC:09:1B:DD:22:28,protocol=tcp,sport=49408,dport=443
0,27,2,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.151,dst=172.18.14.96,mac=F4:46:37:8B:43:36,protocol=udp,sport=62880,dport=53
0,27,2,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.151,dst=20.50.73.9,mac=F4:46:37:8B:43:36,protocol=tcp,sport=56599,dport=443
0,28,2,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.117,dst=172.18.14.96,mac=F4:46:37:D8:6D:B9,protocol=udp,sport=55091,dport=53
0,28,2,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.117,dst=172.18.14.225,mac=F4:46:37:D8:6D:B9,protocol=udp,sport=55092,dport=53
0,30,2,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.148,dst=172.18.14.96,mac=F4:46:37:8B:43:EA,protocol=udp,sport=51433,dport=53
0,30,2,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.148,dst=172.18.14.225,mac=F4:46:37:8B:43:EA,protocol=udp,sport=51434,dport=53
0,33,1,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.117,dst=172.18.14.96,mac=F4:46:37:D8:6D:B9,protocol=udp,sport=55093,dport=53
0,34,8,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.117,dst=172.18.14.225,mac=F4:46:37:D8:6D:B9,protocol=udp,sport=55094,dport=53
0,34,8,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.117,dst=208.67.222.222,mac=F4:46:37:D8:6D:B9,protocol=udp,sport=55096,dport=443
0,34,8,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.155,dst=172.18.14.96,mac=F4:46:37:8B:66:DB,protocol=udp,sport=56761,dport=53
0,34,8,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.155,dst=172.18.14.225,mac=F4:46:37:8B:66:DB,protocol=udp,sport=56762,dport=53
0,34,8,server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.155,dst=208.67.222.222,mac=F4:46:37:8B:66:DB,protocol=udp,sport=56764,dport=443
0,34,8,server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.117,dst=239.255.255.250,mac=F4:46:37:D8:6D:B9,protocol=udp,sport=55097,dport=1900
0,34,8,server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.111,dst=172.18.14.96,mac=BC:09:1B:F0:66:C1,protocol=udp,sport=50418,dport=53
