Minute,Second,RepeatNumber,Server,TR_IST_AP,flow_or_url,allow_or_src,snat_or_dnat,mac_or_dst,mac_or_request,protocol,sport,dport
0,2,1,server-176.53.2.142.as42926.net,TR_IST_AP_8,urls,src=172.19.0.172:63954,dst=20.189.173.9:443,mac=F4:46:37:8B:1F:28,request:,UNKNOWN,https://self.events.data.microsoft.com/...,dport=53
0,14,1,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.148:53198,dst=20.190.159.69:443,mac=F4:46:37:8B:43:EA,request:,UNKNOWN,https://login.microsoftonline.com/...,dport=53
0,15,1,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.148:53199,dst=20.54.103.203:443,mac=F4:46:37:8B:43:EA,request:,UNKNOWN,https://enterprise-eudb.activity.windows.com/...,dport=53
0,16,1,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.148:53200,dst=20.190.159.71:443,mac=F4:46:37:8B:43:EA,request:,UNKNOWN,https://login.live.com/...,dport=53
0,17,2,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.148:53201,dst=20.31.106.135:443,mac=F4:46:37:8B:43:EA,request:,UNKNOWN,https://arc.msn.com/...,dport=53
0,17,2,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.148:53202,dst=93.184.220.29:80,mac=F4:46:37:8B:43:EA,agent='Microsoft-CryptoAPI/10.0',request:,GET,http://ocsp.digicert.com/MFEwTzBNMEswSTAJBgUrDgMCGgUABBQ50otx%2Fh0Ztl%2Bz8SiPI7wEWVxDlQQUTiJUIBiV5uNu5g%2F6%2BrkS7QYXjzkCEAxq6XzO1ZmDhpCgCp6lMhQ%3D
0,22,1,server-176.53.2.142.as42926.net,TR_IST_AP_8,urls,src=172.19.0.155:60240,dst=20.50.73.9:443,mac=F4:46:37:8B:66:DB,request:,UNKNOWN,https://eu-v10.events.data.microsoft.com/...,dport=53
0,26,1,server-176.53.2.142.as42926.net,TR_IST_AP_8,urls,src=172.19.0.155:60241,dst=20.50.73.9:443,mac=F4:46:37:8B:66:DB,request:,UNKNOWN,https://eu-v20.events.data.microsoft.com/...,dport=53
0,27,1,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.151:56599,dst=20.50.73.9:443,mac=F4:46:37:8B:43:36,request:,UNKNOWN,https://eu-v20.events.data.microsoft.com/...,dport=53
0,30,4,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.166:49306,dst=146.112.255.155:443,mac=F4:46:37:8B:5E:7F,request:,UNKNOWN,https://api.opendns.com/...,dport=53
