Server,TR_IST_AP,flow_or_url,allow_or_src,SNAT_or_DNAT,mac_or_dst,mac_or_request,protocol,sport,dport,Date
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.173,dst=172.18.14.96,mac=F4:46:37:8A:F5:A7,protocol=udp,sport=64734,dport=53,2022-06-27 00:02:26
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.173,dst=172.18.14.225,mac=F4:46:37:8A:F5:A7,protocol=udp,sport=64735,dport=53,2022-06-27 00:02:26
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.173,dst=208.67.222.222,mac=F4:46:37:8A:F5:A7,protocol=udp,sport=64737,dport=443,2022-06-27 00:02:26
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.117,dst=172.18.14.96,mac=F4:46:37:D8:6D:B9,protocol=udp,sport=62035,dport=53,2022-06-27 00:02:27
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.117,dst=192.111.5.0,mac=F4:46:37:D8:6D:B9,protocol=tcp,sport=52019,dport=443,2022-06-27 00:02:27
server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.117:52019,dst=192.111.5.0:443,mac=F4:46:37:D8:6D:B9,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,2022-06-27 00:02:27
server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.155,dst=172.18.14.96,mac=F4:46:37:8B:66:DB,protocol=udp,sport=64173,dport=53,2022-06-27 00:02:27
server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.155,dst=172.18.14.96,mac=F4:46:37:8B:66:DB,protocol=udp,sport=61002,dport=53,2022-06-27 00:02:27
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.148,dst=20.199.120.85,mac=F4:46:37:8B:43:EA,protocol=tcp,sport=64573,dport=443,2022-06-27 00:02:28
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.173,dst=20.199.120.151,mac=F4:46:37:8A:F5:A7,protocol=tcp,sport=52864,dport=443,2022-06-27 00:02:29
server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.111,dst=172.18.14.96,mac=BC:09:1B:F0:66:C1,protocol=udp,sport=51385,dport=53,2022-06-27 00:02:29
server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.111,dst=172.18.14.225,mac=BC:09:1B:F0:66:C1,protocol=udp,sport=51386,dport=53,2022-06-27 00:02:29
server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.155,dst=172.18.14.96,mac=F4:46:37:8B:66:DB,protocol=udp,sport=59909,dport=53,2022-06-27 00:02:29
server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.155,dst=192.111.5.1,mac=F4:46:37:8B:66:DB,protocol=tcp,sport=59906,dport=443,2022-06-27 00:02:29
server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.166:64785,dst=146.112.255.155:443,mac=F4:46:37:8B:5E:7F,request:,UNKNOWN,https://api.opendns.com/...,0,2022-06-27 00:02:30
server-176.53.2.142.as42926.net,TR_IST_AP_8,urls,src=172.19.0.155:59906,dst=192.111.5.1:443,mac=F4:46:37:8B:66:DB,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,2022-06-27 00:02:30
server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.166:64786,dst=146.112.255.155:443,mac=F4:46:37:8B:5E:7F,request:,UNKNOWN,https://api.opendns.com/...,0,2022-06-27 00:02:30
server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.166:64787,dst=146.112.255.155:443,mac=F4:46:37:8B:5E:7F,request:,UNKNOWN,https://api.opendns.com/...,0,2022-06-27 00:02:30
server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.166:64788,dst=146.112.255.155:443,mac=F4:46:37:8B:5E:7F,request:,UNKNOWN,https://api.opendns.com/...,0,2022-06-27 00:02:30
server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.172,dst=172.18.14.96,mac=F4:46:37:8B:1F:28,protocol=udp,sport=59640,dport=53,2022-06-27 00:02:30
server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.172,dst=172.18.14.225,mac=F4:46:37:8B:1F:28,protocol=udp,sport=59640,dport=53,2022-06-27 00:02:30
server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.172,dst=40.126.32.69,mac=F4:46:37:8B:1F:28,protocol=tcp,sport=63389,dport=443,2022-06-27 00:02:30
server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.172,dst=172.18.14.96,mac=F4:46:37:8B:1F:28,protocol=udp,sport=55848,dport=53,2022-06-27 00:02:30
server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.172,dst=192.111.5.2,mac=F4:46:37:8B:1F:28,protocol=tcp,sport=63392,dport=443,2022-06-27 00:02:30
server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.166:64789,dst=146.112.255.155:443,mac=F4:46:37:8B:5E:7F,request:,UNKNOWN,https://api.opendns.com/...,0,2022-06-27 00:02:30
server-176.53.2.142.as42926.net,TR_IST_AP_8,urls,src=172.19.0.172:63389,dst=40.126.32.69:443,mac=F4:46:37:8B:1F:28,request:,UNKNOWN,https://login.microsoftonline.com/...,0,2022-06-27 00:02:30
server-176.53.2.142.as42926.net,TR_IST_AP_8,urls,src=172.19.0.172:63392,dst=192.111.5.2:443,mac=F4:46:37:8B:1F:28,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,2022-06-27 00:02:30
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.117,dst=10.5.0.27,mac=F4:46:37:D8:6D:B9,protocol=tcp,sport=52020,dport=135,2022-06-27 00:02:30
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.117,dst=172.18.14.96,mac=F4:46:37:D8:6D:B9,protocol=udp,sport=60196,dport=53,2022-06-27 00:02:30
server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.166:64790,dst=146.112.255.155:443,mac=F4:46:37:8B:5E:7F,request:,UNKNOWN,https://api.opendns.com/...,0,2022-06-27 00:02:30
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.117,dst=20.190.159.70,mac=F4:46:37:D8:6D:B9,protocol=tcp,sport=52021,dport=443,2022-06-27 00:02:30
server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.117:52021,dst=20.190.159.70:443,mac=F4:46:37:D8:6D:B9,request:,UNKNOWN,https://login.microsoftonline.com/...,0,2022-06-27 00:02:30
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.117,dst=10.5.0.27,mac=F4:46:37:D8:6D:B9,protocol=tcp,sport=52022,dport=49668,2022-06-27 00:02:30
server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.166:64791,dst=146.112.255.155:443,mac=F4:46:37:8B:5E:7F,request:,UNKNOWN,https://api.opendns.com/...,0,2022-06-27 00:02:30
server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.166:64792,dst=146.112.255.155:443,mac=F4:46:37:8B:5E:7F,request:,UNKNOWN,https://api.opendns.com/...,0,2022-06-27 00:02:30
server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.96,mac=BC:09:1B:DD:22:28,protocol=udp,sport=49669,dport=53,2022-06-27 00:02:31
server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=13.69.109.130,mac=BC:09:1B:DD:22:28,protocol=tcp,sport=55621,dport=443,2022-06-27 00:02:31
server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.71:55621,dst=13.69.109.130:443,mac=BC:09:1B:DD:22:28,request:,UNKNOWN,https://eu-v10.events.data.microsoft.com/...,0,2022-06-27 00:02:31
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.117,dst=172.18.14.96,mac=F4:46:37:D8:6D:B9,protocol=udp,sport=62691,dport=53,2022-06-27 00:02:32
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.117,dst=172.18.14.225,mac=F4:46:37:D8:6D:B9,protocol=udp,sport=62691,dport=53,2022-06-27 00:02:32
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.117,dst=52.112.238.71,mac=F4:46:37:D8:6D:B9,protocol=tcp,sport=52023,dport=443,2022-06-27 00:02:32
server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.117:52023,dst=52.112.238.71:443,mac=F4:46:37:D8:6D:B9,request:,UNKNOWN,https://presence.teams.microsoft.com/...,0,2022-06-27 00:02:32
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.148,dst=20.199.120.151,mac=F4:46:37:8B:43:EA,protocol=tcp,sport=56414,dport=443,2022-06-27 00:02:33
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.117,dst=20.190.159.70,mac=F4:46:37:D8:6D:B9,protocol=tcp,sport=52024,dport=443,2022-06-27 00:02:33
server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.117:52024,dst=20.190.159.70:443,mac=F4:46:37:D8:6D:B9,request:,UNKNOWN,https://login.microsoftonline.com/...,0,2022-06-27 00:02:33
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.117,dst=172.18.14.96,mac=F4:46:37:D8:6D:B9,protocol=udp,sport=62692,dport=53,2022-06-27 00:02:34
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.117,dst=172.18.14.225,mac=F4:46:37:D8:6D:B9,protocol=udp,sport=62694,dport=53,2022-06-27 00:02:34
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.117,dst=239.255.255.250,mac=F4:46:37:D8:6D:B9,protocol=udp,sport=62695,dport=1900,2022-06-27 00:02:35
server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.172,dst=172.18.14.96,mac=F4:46:37:8B:1F:28,protocol=udp,sport=55849,dport=53,2022-06-27 00:02:35
server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.172,dst=172.18.14.225,mac=F4:46:37:8B:1F:28,protocol=udp,sport=55850,dport=53,2022-06-27 00:02:35
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.173,dst=52.98.207.226,mac=F4:46:37:8A:F5:A7,protocol=tcp,sport=54438,dport=443,2022-06-27 00:02:36
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.173,dst=52.98.207.226,mac=F4:46:37:8A:F5:A7,protocol=tcp,sport=54437,dport=443,2022-06-27 00:02:36
server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.173:54438,dst=52.98.207.226:443,mac=F4:46:37:8A:F5:A7,request:,UNKNOWN,https://outlook.office365.com/...,0,2022-06-27 00:02:36
server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.173:54437,dst=52.98.207.226:443,mac=F4:46:37:8A:F5:A7,request:,UNKNOWN,https://outlook.office365.com/...,0,2022-06-27 00:02:36
server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.96,mac=BC:09:1B:DD:22:28,protocol=udp,sport=49670,dport=53,2022-06-27 00:02:38
server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.225,mac=BC:09:1B:DD:22:28,protocol=udp,sport=49671,dport=53,2022-06-27 00:02:38
server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.111,dst=10.5.0.27,mac=BC:09:1B:F0:66:C1,protocol=udp,sport=123,dport=123,2022-06-27 00:02:38
server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.96,mac=BC:09:1B:DD:22:28,protocol=udp,sport=55634,dport=53,2022-06-27 00:02:39
server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=146.112.62.20,mac=BC:09:1B:DD:22:28,protocol=tcp,sport=55622,dport=443,2022-06-27 00:02:39
server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.71:55622,dst=146.112.62.20:443,mac=BC:09:1B:DD:22:28,request:,UNKNOWN,https://ipl.opendns.com/...,0,2022-06-27 00:02:39
server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.172,dst=172.18.14.96,mac=F4:46:37:8B:1F:28,protocol=udp,sport=60887,dport=53,2022-06-27 00:02:39
server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.172,dst=172.18.14.225,mac=F4:46:37:8B:1F:28,protocol=udp,sport=60887,dport=53,2022-06-27 00:02:39
server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.172,dst=13.69.116.104,mac=F4:46:37:8B:1F:28,protocol=tcp,sport=63394,dport=443,2022-06-27 00:02:39
server-176.53.2.142.as42926.net,TR_IST_AP_8,urls,src=172.19.0.172:63394,dst=13.69.116.104:443,mac=F4:46:37:8B:1F:28,request:,UNKNOWN,https://eu-v20.events.data.microsoft.com/...,0,2022-06-27 00:02:39
server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=146.112.62.20,mac=BC:09:1B:DD:22:28,protocol=tcp,sport=55623,dport=443,2022-06-27 00:02:39
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.117,dst=10.5.0.27,mac=F4:46:37:D8:6D:B9,protocol=tcp,sport=52025,dport=445,2022-06-27 00:02:39
server-176.53.2.142.as42926.net,TR_IST_AP_3,urls,src=172.19.0.71:55623,dst=146.112.62.20:443,mac=BC:09:1B:DD:22:28,request:,UNKNOWN,https://ipl.opendns.com/...,0,2022-06-27 00:02:39
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.148,dst=20.199.120.151,mac=F4:46:37:8B:43:EA,protocol=tcp,sport=58790,dport=443,2022-06-27 00:02:40
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.148,dst=52.97.219.162,mac=F4:46:37:8B:43:EA,protocol=tcp,sport=52554,dport=443,2022-06-27 00:02:40
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.148,dst=52.97.219.162,mac=F4:46:37:8B:43:EA,protocol=tcp,sport=52555,dport=443,2022-06-27 00:02:40
server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.148:52555,dst=52.97.219.162:443,mac=F4:46:37:8B:43:EA,request:,UNKNOWN,https://outlook.office365.com/...,0,2022-06-27 00:02:40
server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.148:52554,dst=52.97.219.162:443,mac=F4:46:37:8B:43:EA,request:,UNKNOWN,https://outlook.office365.com/...,0,2022-06-27 00:02:40
server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.179,dst=172.18.14.96,mac=BC:09:1B:F8:BA:51,protocol=udp,sport=64950,dport=53,2022-06-27 00:02:40
server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.179,dst=172.18.14.225,mac=BC:09:1B:F8:BA:51,protocol=udp,sport=64951,dport=53,2022-06-27 00:02:40
server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.179,dst=172.18.14.96,mac=BC:09:1B:F8:BA:51,protocol=udp,sport=64952,dport=53,2022-06-27 00:02:41
server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.179,dst=172.18.14.225,mac=BC:09:1B:F8:BA:51,protocol=udp,sport=64953,dport=53,2022-06-27 00:02:41
server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.179,dst=208.67.222.222,mac=BC:09:1B:F8:BA:51,protocol=udp,sport=64955,dport=443,2022-06-27 00:02:41
server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.155,dst=172.18.14.96,mac=F4:46:37:8B:66:DB,protocol=udp,sport=59910,dport=53,2022-06-27 00:02:41
server-176.53.2.142.as42926.net,TR_IST_AP_8,flows,allow,src=172.19.0.155,dst=172.18.14.225,mac=F4:46:37:8B:66:DB,protocol=udp,sport=59911,dport=53,2022-06-27 00:02:41
