Minute,Second,RepeatNumber,Server,TR_IST_AP,flow_or_url,allow_or_src,snat_or_dnat,mac_or_dst,mac_or_request,protocol,sport,dport
2,30,12,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.166:64785,dst=146.112.255.155:443,mac=F4:46:37:8B:5E:7F,request:,UNKNOWN,https://api.opendns.com/...,0
2,30,12,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.166:64786,dst=146.112.255.155:443,mac=F4:46:37:8B:5E:7F,request:,UNKNOWN,https://api.opendns.com/...,0
2,30,12,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.166:64787,dst=146.112.255.155:443,mac=F4:46:37:8B:5E:7F,request:,UNKNOWN,https://api.opendns.com/...,0
2,30,12,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.166:64788,dst=146.112.255.155:443,mac=F4:46:37:8B:5E:7F,request:,UNKNOWN,https://api.opendns.com/...,0
2,30,12,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.166:64789,dst=146.112.255.155:443,mac=F4:46:37:8B:5E:7F,request:,UNKNOWN,https://api.opendns.com/...,0
2,30,12,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.166:64790,dst=146.112.255.155:443,mac=F4:46:37:8B:5E:7F,request:,UNKNOWN,https://api.opendns.com/...,0
2,30,12,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.166:64791,dst=146.112.255.155:443,mac=F4:46:37:8B:5E:7F,request:,UNKNOWN,https://api.opendns.com/...,0
2,30,12,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.166:64792,dst=146.112.255.155:443,mac=F4:46:37:8B:5E:7F,request:,UNKNOWN,https://api.opendns.com/...,0
2,51,4,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.166:64793,dst=146.112.255.155:443,mac=F4:46:37:8B:5E:7F,request:,UNKNOWN,https://api.opendns.com/...,0
2,51,4,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.166:64794,dst=146.112.255.155:443,mac=F4:46:37:8B:5E:7F,request:,UNKNOWN,https://api.opendns.com/...,0
2,51,4,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.166:64795,dst=146.112.255.155:443,mac=F4:46:37:8B:5E:7F,request:,UNKNOWN,https://api.opendns.com/...,0
2,51,4,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.166:64797,dst=146.112.255.155:443,mac=F4:46:37:8B:5E:7F,request:,UNKNOWN,https://api.opendns.com/...,0
3,21,2,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.166:64801,dst=192.111.5.0:443,mac=F4:46:37:8B:5E:7F,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0
3,48,4,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.166:64805,dst=146.112.255.155:443,mac=F4:46:37:8B:5E:7F,request:,UNKNOWN,https://api.opendns.com/...,0
3,48,4,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.166:64806,dst=146.112.255.155:443,mac=F4:46:37:8B:5E:7F,request:,UNKNOWN,https://api.opendns.com/...,0
3,48,4,server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.166:64807,dst=146.112.255.155:443,mac=F4:46:37:8B:5E:7F,request:,UNKNOWN,https://api.opendns.com/...,0
