Minute,Second,RepeatNumber,Server,TR_IST_AP,flow_or_url,allow_or_src,snat_or_dnat,mac_or_dst,mac_or_request,protocol,sport,dport,NumberEntryToSite
2,30,12,server-176.53.2.142.as42926.net,TR_IST_AP_8,urls,src=172.19.0.155:59906,dst=192.111.5.1:443,mac=F4:46:37:8B:66:DB,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,16
3,40,2,server-176.53.2.142.as42926.net,TR_IST_AP_8,urls,src=172.19.0.155:59914,dst=52.16.105.95:443,mac=F4:46:37:8B:66:DB,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,16
6,27,1,server-176.53.2.142.as42926.net,TR_IST_AP_8,urls,src=172.19.0.155:59928,dst=192.111.5.0:443,mac=F4:46:37:8B:66:DB,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,16
8,40,2,server-176.53.2.142.as42926.net,TR_IST_AP_8,urls,src=172.19.0.155:59939,dst=192.111.5.0:443,mac=F4:46:37:8B:66:DB,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,16
9,27,1,server-176.53.2.142.as42926.net,TR_IST_AP_8,urls,src=172.19.0.155:59944,dst=192.111.5.0:443,mac=F4:46:37:8B:66:DB,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,16
13,41,2,server-176.53.2.142.as42926.net,TR_IST_AP_8,urls,src=172.19.0.155:59967,dst=192.111.5.1:443,mac=F4:46:37:8B:66:DB,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,16
14,18,1,server-176.53.2.142.as42926.net,TR_IST_AP_8,urls,src=172.19.0.155:59971,dst=192.111.5.2:443,mac=F4:46:37:8B:66:DB,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,16
17,30,2,server-176.53.2.142.as42926.net,TR_IST_AP_8,urls,src=172.19.0.155:59985,dst=52.18.187.166:443,mac=F4:46:37:8B:66:DB,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,16
18,41,3,server-176.53.2.142.as42926.net,TR_IST_AP_8,urls,src=172.19.0.155:59992,dst=192.111.5.1:443,mac=F4:46:37:8B:66:DB,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,16
23,41,2,server-176.53.2.142.as42926.net,TR_IST_AP_8,urls,src=172.19.0.155:60035,dst=192.111.5.1:443,mac=F4:46:37:8B:66:DB,request:,UNKNOWN,https://cloud-ec-asn.eu.amp.cisco.com/...,0,16
